ano_fonte,data_criacao,assunto,subdivisao,situacao,logradouro,bairro,regional,origem,rank_key
2023,27/07/2023,Cartão transporte,Geral,Concluído,RUA CAMBÉ,SITIO CERCADO,Unidade Regional Bairro Novo,Telefone,610014
2024,09/08/2024,Trânsito,Fiscalização de estacionamento irregular,Concluído,ALAMEDA PRUDENTE DE MORAES,MERCES,Unidade Regional Matriz,Telefone,7085
2024,28/01/2024,Trânsito,Fiscalização de estacionamento irregular,Concluído,Rua Aluízio Finzetto,PRADO VELHO,Unidade Regional Matriz,Mobile,11334
2024,15/01/2024,Animais domésticos,Remoção de caninos mortos,Concluído,Rua Chile,REBOUCAS,Unidade Regional Matriz,Telefone,18735
2024,10/11/2024,Trânsito,Fiscalização de estacionamento irregular,Concluído,Avenida Candi,CENTRO CIVICO,Unidade Regional Matriz,Telefone,29747
2024,31/12/2024,Coleta,Resíduos vegetais de jardim,Aberto,Rua Arthur José Nísio,UBERABA,Unidade Regional Cajuru,Mobile,46236
2024,05/09/2024,Coleta,Resíduos vegetais de jardim,Concluído,RUA PADRE ARNALDO JANSSEN,CAJURU,Unidade Regional Cajuru,Telefone,48946
2024,12/02/2024,Coleta,Resíduos vegetais de jardim,Concluído,RUA DOMINGOS GABARDO,CAPAO RASO,Unidade Regional Pinheirinho,Telefone,50261
2024,16/12/2024,Coleta,Entulhos diversos (pequena quantidade),Concluído,RUA ARATICUM,UBERABA,Unidade Regional Cajuru,Telefone,72430
2024,08/02/2024,Coleta,Entulhos diversos (pequena quantidade),Concluído,RUA ENÉAS ALMEIDA EIDAM,XAXIM,Unidade Regional Boqueirao,Telefone,94275
2024,02/10/2024,Coleta,Caliças até 5 carrinhos de mão,Concluído,RUA ENGENHEIRO JAYME MATZENBACHER,ATUBA,Unidade Regional Boa Vista,Telefone,97166
2024,12/07/2024,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Professora Augusta Ribas,PINHEIRINHO,Unidade Regional Pinheirinho,Mobile,116125
2024,30/04/2024,Coleta,Resíduos vegetais de jardim,Concluído,RUA BENEDITO CORREIA DE FREITAS,ABRANCHES,Unidade Regional Boa Vista,Telefone,133999
2024,16/03/2024,Coleta,Resíduos vegetais de jardim,Concluído,Rua Doutor Lauro Gentio Portugal Tavares,SITIO CERCADO,Unidade Regional Bairro Novo,Mobile,136924
2024,12/01/2024,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Doutor Nelson Luiz Wolski Velloso,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,149983
2024,12/01/2024,Coleta,Resíduos vegetais de jardim,Concluído,Rua Doutor Nelson Luiz Wolski Velloso,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,149983
2024,20/02/2024,Árvore,Poda de manutenção em árvores,Aberto,Rua Inácio Slompo,SANTA FELICIDADE,Unidade Regional Santa Felicidade,Mobile,176162
2024,29/03/2024,Coleta,Resíduos vegetais de jardim,Concluído,Rua Jorge Gava,PILARZINHO,Unidade Regional Boa Vista,Mobile,185964
2024,08/07/2024,Animais domésticos,Remoção de felinos mortos,Concluído,RUA CIDADE DE LAGUNA,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,202146
2024,08/07/2024,Disque Solidariedade,Doações,Concluído,RUA CIDADE DE LAGUNA,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,202146
2024,07/08/2024,Coleta,Resíduos vegetais de jardim,Concluído,RUA GIOVANNI DALLA PALMA,SAO BRAZ,Unidade Regional Santa Felicidade,Telefone,216147
2024,18/04/2024,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Antonio Petruzziello,PILARZINHO,Unidade Regional Boa Vista,Mobile,277557
2024,01/09/2024,Trânsito,Fiscalização de estacionamento irregular,Concluído,Rua Paulo Martins,MERCES,Unidade Regional Matriz,Telefone,290042
2024,16/10/2024,Coleta,Resíduos vegetais de jardim,Concluído,RUA EDUARDO JARNICKI,SAO BRAZ,Unidade Regional Santa Felicidade,Telefone,318099
2024,03/09/2024,Coleta,Resíduos vegetais de jardim,Concluído,Avenida Albino Raschendorfer,VISTA ALEGRE,Unidade Regional Santa Felicidade,Mobile,320677
2024,04/06/2024,Coleta,Resíduos vegetais de jardim,Concluído,Rua Brigadeiro Franco,CENTRO,Unidade Regional Matriz,Mobile,329203
2024,08/12/2024,Trânsito,Fiscalização de estacionamento irregular,Concluído,Doutor Pedrosa,CENTRO,Unidade Regional Matriz,Portal,364485
2024,06/03/2024,Coleta,Resíduos vegetais de jardim,Concluído,Padre Germano Mayer,HUGO LANGE,Unidade Regional Matriz,Mobile,375572
2024,21/05/2024,Coleta,Caliças até 5 carrinhos de mão,Concluído,Rua Vieira dos Santos,CENTRO CIVICO,Unidade Regional Matriz,Portal,390557
2024,27/04/2024,Trânsito,Fiscalização de bloqueio de pista,Concluído,Rua Moysés Marcondes,JUVEVE,Unidade Regional Matriz,Mobile,393310
2024,04/01/2024,Coleta,Resíduos vegetais de jardim,Concluído,RUA DOUTOR DJALMA FERREIRA LOPES,GUABIROTUBA,Unidade Regional Cajuru,Telefone,401093
2024,20/09/2024,Árvore,Poda de manutenção em árvores,Aberto,RUA JAZIEL SOTTO MAIOR LAGOS,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,403374
2024,09/02/2024,Coleta,Caliças até 5 carrinhos de mão,Concluído,Rua Genoveva Simões Falcão,CASCATINHA,Unidade Regional Santa Felicidade,Portal,415380
2024,13/09/2024,Trânsito,Fiscalização de estacionamento irregular,Concluído,Rua Monsenhor Ivo Zanlorenzi,CAMPO COMPRIDO,Unidade Regional Portao,Mobile,426141
2024,17/04/2024,Árvore,Poda de manutenção em árvores,Aberto,Egídio Antônio Zamilian,SANTA FELICIDADE,Unidade Regional Santa Felicidade,Telefone,430909
2024,18/04/2024,Coleta,Resíduos vegetais de jardim,Concluído,RUA ROCHA POMBO,JUVEVE,Unidade Regional Matriz,Telefone,433089
2024,13/07/2024,Coleta,Entulhos diversos (pequena quantidade),Concluído,Flávio de Azevedo Macedo,SAO LOURENCO,Unidade Regional Boa Vista,Mobile,435479
2024,16/02/2024,Coleta,Resíduos vegetais de jardim,Concluído,Avenida Senador Salgado Filho,UBERABA,Unidade Regional Cajuru,Telefone,438793
2024,16/02/2024,Coleta,Resíduos vegetais de jardim,Concluído,Avenida Senador Salgado Filho,UBERABA,Unidade Regional Cajuru,Portal,438793
2024,16/02/2024,Trânsito,Fiscalização de estacionamento irregular,Concluído,Rua Cezario Curial,PILARZINHO,Unidade Regional Boa Vista,Mobile,445232
2024,20/02/2024,Coleta,Resíduos vegetais de jardim,Concluído,Rua Professor Ary Nogueira Dos Santos,BOQUEIRAO,Unidade Regional Boqueirao,Telefone,448247
2025,17/07/2025,Coleta,Resíduos vegetais de jardim,Concluído,Rua Renato de Souza Lobo,CIDADE INDUSTRIAL,Unidade Regional CIC,Mobile,14663
2025,14/08/2025,Iluminação Pública,Manutenção de Luminárias,Concluído,Rua Ghaze Saleh,TINGUI,Unidade Regional Boa Vista,Telefone,47589
2025,02/01/2025,Coleta,Resíduos vegetais de jardim,Concluído,RUA FRANCISCO PAROLIN,PAROLIN,Unidade Regional Portao,Telefone,55455
2025,26/08/2025,Unidade de Saúde - UMS,Agendamento - Consulta com Especialista,Concluído,RUA CYRO CORREIA PEREIRA,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,68308
2025,22/04/2025,Árvore,Poda de manutenção em árvores,Concluído,RUA PASTOR NIVALDO RAMOS,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,74977
2025,18/11/2025,Iluminação Pública,Manutenção de Luminárias,Aberto,Rua Doutor Alexandre Gutierrez,AGUA VERDE,Unidade Regional Portao,Mobile,78405
2025,18/11/2025,Iluminação Pública,Manutenção de Luminárias,Concluído,Rua Doutor Alexandre Gutierrez,AGUA VERDE,Unidade Regional Portao,Mobile,78405
2025,30/07/2025,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Professor Fábio de Souza,PORTAO,Unidade Regional Portao,Mobile,96522
2025,25/08/2025,Cartão transporte,Cartão débito/crédito,Concluído,José Hauer,UBERABA,Unidade Regional Cajuru,Portal,123654
2025,09/09/2025,Iluminação Pública,Manutenção de Luminárias,Concluído,Rua Nilo Pecanha,BOM RETIRO,Unidade Regional Matriz,Portal,143181
2025,03/04/2025,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Nelso José Lauthart,ALTO BOQUEIRAO,Unidade Regional Boqueirao,Mobile,146009
2025,09/04/2025,Trânsito,Fiscalização de bloqueio de pista,Concluído,Rua Padre Anchieta,BIGORRILHO,Unidade Regional Matriz,Telefone,149819
2025,09/04/2025,Trânsito,Fiscalização de bloqueio de pista,Concluído,Rua Padre Anchieta,BIGORRILHO,Unidade Regional Matriz,Mobile,149819
2025,17/02/2025,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Padre Francisco Chylaszek,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,150903
2025,17/02/2025,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Padre Francisco Chylaszek,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,150903
2025,17/02/2025,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Ary Taborda,GANCHINHO,Unidade Regional Bairro Novo,Mobile,168257
2025,03/12/2025,Praças,Manutenção,Aberto,AVENIDA PRESIDENTE WENCESLAU BRAZ,LINDOIA,Unidade Regional Pinheirinho,Telefone,217141
2025,03/10/2025,Lombada física,Implantação,Concluído,RUA LEOCÁDIO ROBISON DE LIMA DAMAZIO,ALTO BOQUEIRAO,Unidade Regional Boqueirao,Telefone,251246
2025,22/03/2025,Coleta,Resíduos vegetais de jardim,Concluído,João Batista Dallarmi,SANTO INACIO,Unidade Regional Santa Felicidade,Portal,270403
2025,15/12/2025,Árvore,Poda de manutenção em árvores,Aberto,João Stenzowski,NOVO MUNDO,Unidade Regional Pinheirinho,Portal,276304
2025,23/04/2025,Fiscalização de obras,Alvará de construção,Aberto,Rua Augusto de Mari,PORTAO,Unidade Regional Portao,Mobile,292211
2025,23/02/2025,Trânsito,Fiscalização de estacionamento irregular,Concluído,RUA VIEIRA DOS SANTOS,CENTRO CIVICO,Unidade Regional Matriz,Telefone,302852
2025,18/12/2025,Coleta,Resíduos vegetais de jardim,Aberto,RUA TENENTE MIGUEL A R CUBAS,CAPAO RASO,Unidade Regional Pinheirinho,Mobile,323437
2025,09/07/2025,Coleta,Resíduos vegetais de jardim,Concluído,RUA JULIÃO GUIÃO QUEIROLO,NOVO MUNDO,Unidade Regional Pinheirinho,Telefone,344950
2025,18/08/2025,Coleta,Caliças até 5 carrinhos de mão,Concluído,Rua Manoel Padilha de Lima,AHU,Unidade Regional Matriz,Telefone,355105
2025,01/04/2025,Coleta,Resíduos vegetais de jardim,Concluído,RUA DO HERVAL,CRISTO REI,Unidade Regional Matriz,Mobile,355397
2025,17/07/2025,Animais,Maus tratos - Animais domésticos,Concluído,RUA ODILON SANTANA GOMES,PILARZINHO,Unidade Regional Boa Vista,Telefone,359353
2025,29/01/2025,Lombada física,Implantação,Concluído,RUA FRANCISCO DEROSSO,XAXIM,Unidade Regional Boqueirao,Telefone,367934
2025,30/01/2025,Trânsito,Fiscalização de estacionamento irregular,Concluído,Rua Cândido Lopes,CENTRO,Unidade Regional Matriz,Mobile,371078
2025,27/09/2025,Coleta,Resíduos vegetais de jardim,Concluído,RUA SERTANEJA,SITIO CERCADO,Unidade Regional Bairro Novo,Telefone,386039
2025,03/05/2025,Sinalização horizontal,Repintura,Concluído,TRAVESSA MONTEIRO LOBATO,CENTRO,Unidade Regional Matriz,Telefone,393655
2025,03/05/2025,Trânsito,Fiscalização de estacionamento irregular,Concluído,TRAVESSA MONTEIRO LOBATO,CENTRO,Unidade Regional Matriz,Telefone,393655
2025,07/04/2025,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Desembargador Augusto Guimarães Cortês,CAMPINA DO SIQUEIRA,Unidade Regional Santa Felicidade,Mobile,412790
2025,07/04/2025,Árvore,Remoção de tocos / destoca,Concluído,Rua Desembargador Augusto Guimarães Cortês,CAMPINA DO SIQUEIRA,Unidade Regional Santa Felicidade,Mobile,412790
2025,02/11/2025,Praças,Manutenção,Concluído,Presidente Eisenhower,JARDIM SOCIAL,Unidade Regional Matriz,Portal,421292
2025,05/09/2025,Coleta,Caliças até 5 carrinhos de mão,Concluído,Rua Abrão Jak Duck,XAXIM,Unidade Regional Boqueirao,Mobile,469820
2025,30/12/2025,Coleta,Entulhos diversos (pequena quantidade),Aberto,Rua Coronel Francisco de Paula Moura Brito,BACACHERI,Unidade Regional Boa Vista,Mobile,476404
2025,30/12/2025,Árvore,Poda de manutenção em árvores,Aberto,Rua Coronel Francisco de Paula Moura Brito,BACACHERI,Unidade Regional Boa Vista,Mobile,476404
2025,02/06/2025,Coleta,Resíduos vegetais de jardim,Concluído,RUA ERNESTO GUARIZA,JARDIM DAS AMERICAS,Unidade Regional Cajuru,Mobile,489922
2025,01/07/2025,Coleta,Caliças até 5 carrinhos de mão,Concluído,Rua da Trindade,CAJURU,Unidade Regional Cajuru,Mobile,495121
2026,29/05/2026,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Luiz França,CAJURU,Unidade Regional Cajuru,Telefone,11855
2026,21/07/2026,Coleta,Resíduos vegetais de jardim,Aberto,Rua do Camacuan,UBERABA,Unidade Regional Cajuru,App 156,23445
2026,26/01/2026,Cartão transporte,Geral,Concluído,General Teodorico Guimarães,FANNY,Unidade Regional Pinheirinho,Portal,64378
2026,02/06/2026,Trânsito,Fiscalização de estacionamento irregular,Concluído,Rua Visconde de Nácar,CENTRO,Unidade Regional Matriz,App 156,66780
2026,02/06/2026,Trânsito,Fiscalização de estacionamento irregular,Concluído,Rua Visconde de Nácar,CENTRO,Unidade Regional Matriz,App 156,66780
2026,02/02/2026,Trânsito,Fiscalização de estacionamento irregular,Concluído,Rua Solimões,MERCES,Unidade Regional Matriz,Telefone,86964
2026,16/05/2026,Disque Solidariedade,Doações,Concluído,Rua João Winter,XAXIM,Unidade Regional Boqueirao,App 156,91640
2026,04/02/2026,Fiscalização de obras,Alvará de construção,Aberto,Presidente Affonso Camargo,JARDIM BOTANICO,Unidade Regional Matriz,Portal,94172
2026,23/06/2026,Coleta,Resíduos vegetais de jardim,Aberto,Rua Rio Araguari,BAIRRO ALTO,Unidade Regional Boa Vista,Telefone,108659
2026,16/06/2026,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua José Clementino Bettega,CAPAO RASO,Unidade Regional Pinheirinho,App 156,112658
2026,16/06/2026,Coleta,Resíduos vegetais de jardim,Concluído,Rua José Clementino Bettega,CAPAO RASO,Unidade Regional Pinheirinho,App 156,112658
2026,06/02/2026,Trânsito,Fiscalização de estacionamento irregular,Concluído,EMILIANO PER,CENTRO,Unidade Regional Matriz,Telefone,126431
2026,03/01/2026,Trânsito,Fiscalização de estacionamento irregular,Concluído,RUA GENERAL CARNEIRO,CENTRO,Unidade Regional Matriz,Telefone,130173
2026,03/01/2026,Trânsito,Fiscalização de estacionamento irregular,Concluído,RUA GENERAL CARNEIRO,CENTRO,Unidade Regional Matriz,Telefone,130173
2026,03/01/2026,Trânsito,Fiscalização de estacionamento irregular,Concluído,RUA GENERAL CARNEIRO,CENTRO,Unidade Regional Matriz,Telefone,130173
2026,28/03/2026,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Gilmar José Carneiro,XAXIM,Unidade Regional Boqueirao,App 156,147170
2026,08/05/2026,Coleta,Resíduos vegetais de jardim,Concluído,Rua Inácio Martins,XAXIM,Unidade Regional Boqueirao,App 156,182228
2026,01/04/2026,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Visconde do Serro Frio,NOVO MUNDO,Unidade Regional Pinheirinho,App 156,192561
2026,17/02/2026,Coleta,Caliças até 5 carrinhos de mão,Concluído,Rua do Tratorista,BOQUEIRAO,Unidade Regional Boqueirao,Telefone,209593
2026,01/06/2026,Trânsito,Fiscalização de estacionamento irregular,Concluído,RUA COMENDADOR ARAÚJO,CENTRO,Unidade Regional Matriz,Telefone,237398
2026,13/05/2026,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Patrício Bagolin,CIDADE INDUSTRIAL,Unidade Regional CIC,App 156,240705
2026,02/06/2026,Trânsito,Fiscalização de estacionamento irregular,Concluído,ALAMEDA DOUTOR CARLOS DE CARVALHO,BATEL,Unidade Regional Matriz,Telefone,246446
2026,13/03/2026,Coleta,Resíduos vegetais de jardim,Concluído,Rua Sociólogo Gilberto Freyre,SANTA FELICIDADE,Unidade Regional Santa Felicidade,App 156,252999
2026,13/03/2026,Árvore,Remoção de tocos / destoca,Concluído,Rua Sociólogo Gilberto Freyre,SANTA FELICIDADE,Unidade Regional Santa Felicidade,App 156,252999
2026,06/04/2026,Coleta,Resíduos vegetais de jardim,Concluído,RUA ISMÊNIA VIEIRA DE ALENCAR,CAPAO RASO,Unidade Regional Pinheirinho,Telefone,264329
2026,22/04/2026,Árvore,Poda de manutenção em árvores,Aberto,RUA ELVIRA DOS SANTOS GOULART,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,293348
2026,18/01/2026,Coleta,Resíduos vegetais de jardim,Concluído,Rua Major França Gomes,SANTA QUITERIA,Unidade Regional Portao,App 156,321157
2026,17/02/2026,Coleta,Entulhos diversos (pequena quantidade),Concluído,RUA ANDRELINO PEREIRA DA SILVA,CAMPO DE SANTANA,Unidade Regional Tatuquara,App 156,324579
2026,24/02/2026,Coleta,Resíduos vegetais de jardim,Concluído,RUA ALFERES POLI,PAROLIN,Unidade Regional Portao,Telefone,324925
2026,23/04/2026,Coleta,Caliças até 5 carrinhos de mão,Concluído,Rua Manoel Felipe Rodrigues Moraes,CAJURU,Unidade Regional Cajuru,App 156,345406
2026,09/04/2026,Coleta,Resíduos vegetais de jardim,Concluído,RUA VALPARAIZO,BACACHERI,Unidade Regional Boa Vista,Telefone,380468
2026,30/06/2026,Árvore,Poda de manutenção em árvores,Aberto,Rua Luiz França,CAJURU,Unidade Regional Cajuru,App 156,396273
2026,30/06/2026,Coleta,Caliças até 5 carrinhos de mão,Concluído,Rua Luiz França,CAJURU,Unidade Regional Cajuru,Telefone,396273
2026,30/06/2026,Coleta,Caliças até 5 carrinhos de mão,Concluído,Rua Luiz França,CAJURU,Unidade Regional Cajuru,App 156,396273
2026,13/03/2026,Coleta,Caliças até 5 carrinhos de mão,Concluído,Rua Adão Casemiro Troczinski,BARREIRINHA,Unidade Regional Boa Vista,App 156,423612
2026,27/04/2026,Coleta,Resíduos vegetais de jardim,Concluído,Rua Professor Fernando Moreira,MERCES,Unidade Regional Matriz,App 156,498083
2026,19/02/2026,Coleta,Entulhos diversos (pequena quantidade),Concluído,David Hume,PILARZINHO,Unidade Regional Boa Vista,Telefone,516677
2026,05/01/2026,Coleta,Caliças até 5 carrinhos de mão,Concluído,RUA ADELAIDE MATTANA VILLA,UBERABA,Unidade Regional Cajuru,Telefone,528017
2026,27/05/2026,Coleta,Resíduos vegetais de jardim,Concluído,Rua João Crysóstomo da Rosa,CAJURU,Unidade Regional Cajuru,Portal,528770
2026,06/07/2026,Coleta,Resíduos vegetais de jardim,Respondido,Rua Pedro Bellon,CAJURU,Unidade Regional Cajuru,Telefone,574475
