window_id,region,event_date,cobrade,cobrade_label,s2id_protocol,s2id_status,s2id_mortos,s2id_desabrigados,s2id_desalojados,s2id_outros_afetados,localities_reported,hydrographic_evidence,news_source,evidence_tier,rank,phenomenon_inferred,adjudicated,notes
CUR_2024_12_08,Curitiba,2024-12-08,11321,Deslizamentos,PR-F-4106902-11321-20241208,Registro,0,0,7,0,,,nenhuma materia datada localizada,EXCLUIDO,,MASS_MOVEMENT,false,
CUR_2024_12_12,Curitiba,2024-12-12,11321,Deslizamentos,PR-F-4106902-11321-20241212,Registro,0,5,0,12,,,nenhuma materia datada localizada,EXCLUIDO,,MASS_MOVEMENT,false,
CUR_2025_01_16,Curitiba,2025-01-16,23120,Incêndios em aglomerados residenciais,PR-F-4106902-23120-20250116,Registro,0,0,18,0,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
CUR_2025_05_21,Curitiba,2025-05-21,13213,Tempestade Local/Convectiva - Granizo,PR-F-4106902-13213-20250521,Registro,0,0,3,0,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
CUR_2025_09_22,Curitiba,2025-09-22,13215,Tempestade Local/Convectiva - Vendaval,PR-F-4106902-13215-20250922,Registro,0,0,0,165,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
CUR_2025_10_31,Curitiba,2025-10-31,23120,Incêndios em aglomerados residenciais,PR-F-4106902-23120-20251031,Registro,0,0,0,0,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
CUR_2025_11_28,Curitiba,2025-11-28,13215,Tempestade Local/Convectiva - Vendaval,PR-F-4106902-13215-20251128,Registro,0,0,0,5,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
CUR_2025_11_30,Curitiba,2025-11-30,13213,Tempestade Local/Convectiva - Granizo,PR-F-4106902-13213-20251130,Registro,0,0,15,40,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
CUR_2025_12_10,Curitiba,2025-12-10,13215,Tempestade Local/Convectiva - Vendaval,PR-F-4106902-13215-20251210,Registro,0,0,0,79,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
CUR_2026_04_02,Curitiba,2026-04-02,23110,"Incêndios em plantas e distritos industriais, parques e depósitos",PR-F-4106902-23110-20260402,Registro,0,0,2,0,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
CUR_2026_07_12,Curitiba,2026-07-12,23120,Incêndios em aglomerados residenciais,PR-F-4106902-23120-20260712,Registro,2,7,17,0,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
PET_2025_04_05,Petropolis,2025-04-05,13120,Frentes Frias/Zonas de Convergência,RJ-F-3303906-13120-20250405,Reconhecido,0,30,128,1802,Centro Historico; Av. Barao do Rio Branco; Alto da Serra; Independencia; Sao Sebastiao; Chacara da Flora,Rio Quitandinha transbordou e alagou o Centro Historico,Diario do Grande ABC 05/04/2025; CNN Brasil; Sou Petropolis 06/04/2025; decreto municipal de situacao de emergencia publicado no D.O.,FORTE,1,FLOOD_EXPLICIT,false,347 mm em 24h; pluviometros Cemaden por regiao (Sao Sebastiao >300 mm)
PET_2024_03_22,Petropolis,2024-03-22,13120,Frentes Frias/Zonas de Convergência,RJ-F-3303906-13120-20240322,Reconhecido,4,188,445,175965,Quitandinha; Centro; Valparaiso; Duarte da Silveira; Itaipava; Independencia; Sao Sebastiao; Araras; Itamarati; Castelanea; Retiro; Roseiral,Rios Quitandinha e Piabanha transbordaram; diversas ruas alagadas,Agencia Brasil 22-23/03/2024,FORTE,2,FLOOD_AND_LANDSLIDE_MIXED,false,196 mm em 12h (Cemaden); evento misto - deslizamentos tambem reportados
PET_2024_01_22,Petropolis,2024-01-22,11311,"Quedas, Tombamentos e rolamentos - Blocos",RJ-F-3303906-11311-20240122,Reconhecido,0,0,250,0,,,nenhuma materia datada localizada,EXCLUIDO,,MASS_MOVEMENT,false,
PET_2024_02_06,Petropolis,2024-02-06,11331,Corridas de Massa - Solo/Lama,RJ-F-3303906-11331-20240206,Registro,0,0,0,0,,,nenhuma materia datada localizada,EXCLUIDO,,MASS_MOVEMENT,false,
PET_2025_03_10,Petropolis,2025-03-10,11311,"Quedas, Tombamentos e rolamentos - Blocos",RJ-F-3303906-11311-20250310,Reconhecido,0,0,240,0,,,nenhuma materia datada localizada,EXCLUIDO,,MASS_MOVEMENT,false,
PET_2025_08_20,Petropolis,2025-08-20,14131,"Incêndio Florestal - Incêndios em Parques, Áreas de Proteção Ambiental e Áreas de Preservação Permanente Nacionais, Estaduais ou Municipais",RJ-F-3303906-14131-20250820,Registro,0,0,1,7,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
